,countList,incomeList,percentageList
294,55138.94,4000000.33,94.32
295,51840.92,4006530.82,94.55
296,69178.83,4213378.44,94.86
297,79362.73,4489877.85,95.2
298,53634.33,4661800.12,95.44
299,87547.45,4924675.62,95.82
300,90475.15,4999999.97,96.22
301,62670.66,5053044.15,96.49
302,85698.13,5536826.08,96.87
303,97915.98,5999143.49,97.3
304,99335.45,6244493.09,97.74
305,120926.16,7009429.45,98.27
306,92059.03,7781954.78,98.67
307,84860.37,9318345.38,99.04
308,111286.42,11533925.63,99.53
309,103037.29,19773470.99,99.98
310,3885.33,72846371.29,100
,,,
,22793698.87,,
